,Name,twi_handle,Party
0,Adam Afriyie,@AdamAfriyie,Conservative
1,Alan Duncan,@AlanDuncanMP,Conservative
2,Alan Mak,@AlanMakMP,Conservative
3,Alberto Costa,@AlbertoCostaMP,Conservative
4,Alec Shelbrooke,@AlecShelbrooke,Conservative
5,Alex Burghart,@alexburghart,Conservative
6,Alex Chalk,@AlexChalkChelt,Conservative
7,Alok Sharma,@AlokSharma_RDG,Conservative
8,Alun Cairns,@AlunCairns,Conservative
9,Amanda Milling,@amandamilling,Conservative
10,Amber Rudd,@AmberRuddHR,Conservative
11,Andrea Jenkyns,@andreajenkyns,Conservative
12,Andrea Leadsom,@andrealeadsom,Conservative
13,Andrew Bowie,@AndrewBowieMP,Conservative
14,Andrew Bridgen,@ABridgen,Conservative
15,Andrew Jones,@AJonesMP,Conservative
16,Andrew Lewer,@ALewerMBE,Conservative
17,Andrew Rosindell,@AndrewRosindell,Conservative
18,Andrew Selous,@AndrewSelous,Conservative
19,Andrew Stephenson,@Andrew4Pendle,Conservative
20,Anne Marie Morris,@AnneMarieMorris,Conservative
21,Anne-Marie Trevelyan,@annietrev,Conservative
22,Ben Bradley,@bbradleymp,Conservative
23,Ben Wallace,@BWallaceMP,Conservative
24,Bernard Jenkin,@bernardjenkin,Conservative
25,Bim Afolami,@BimAfolami,Conservative
26,Bob Blackman,@BobBlackman,Conservative
27,Bob Seely,@IoWBobSeely,Conservative
28,Boris Johnson,@BorisJohnson,Conservative
29,Brandon Lewis,@BrandonLewis,Conservative
30,Caroline Dinenage,@cj_dinenage,Conservative
31,Caroline Spelman,@spelmanc,Conservative
32,Cheryl Gillan,@CherylGillan,Conservative
33,Chloe Smith,@NorwichChloe,Conservative
34,Chris Green,@CGreenUK,Conservative
35,Chris Heaton-Harris,@chhcalling,Conservative
36,Chris Philp,@CPhilpOfficial,Conservative
37,Chris Skidmore,@CSkidmoreUK,Conservative
38,Christopher Pincher,@ChrisPincher,Conservative
39,Claire Perry,@claireperrymp,Conservative
40,Colin Clark,@Colin_J_Clark,Conservative
41,Conor Burns,@ConorBurnsUK,Conservative
42,Craig Mackinlay,@cmackinlay,Conservative
43,Craig Tracey,@craig4nwarks,Conservative
44,Craig Whittaker,@CWhittakerMP,Conservative
45,Crispin Blunt,@CrispinBlunt,Conservative
46,Damian Collins,@DamianCollins,Conservative
47,Damian Green,@DamianGreen,Conservative
48,Damian Hinds,@DamianHinds,Conservative
49,Damien Moore,@damienmooremp,Liberal Democrats
50,Daniel Kawczynski,@DKShrewsbury,Conservative
51,David Amess,@amessd_southend,Conservative
52,David Davis,@daviddavismp,Conservative
53,David Duguid,@daviddaguidmp,Conservative
54,David Evennett,@DavidEvennett,Conservative
55,David Jones,@DavidJonesMP,Conservative
56,David Lidington,@DLidington,Conservative
57,David Morris,@davidmorrisml,Conservative
58,David Mundell,@DavidMundellDCT,Conservative
59,David Rutley,@DavidRutley,Conservative
60,David T. C. Davies,@DavidTCDavies,Conservative
61,David Warburton,@DJWarburton,Conservative
62,Derek Thomas,@DerekThomasUK,Conservative
63,Desmond Swayne,@DesmondSwayne,Conservative
64,Dominic Raab,@DominicRaab,Conservative
65,Douglas Ross,@Douglas4Moray,Conservative
66,Dr Andrew Murrison,@AWMurrison,Conservative
67,Dr Caroline Johnson,@drcarolinej,Conservative
68,Dr Liam Fox,@LiamFox,Conservative
69,Dr Thérèse Coffey,@theresecoffey,Conservative
70,Eddie Hughes,@EddieHughes4WN,Conservative
71,Edward Leigh,@EdwardLeighMP,Conservative
72,Eleanor Laing,@eleanor4epping,Conservative
73,Elizabeth Truss,@trussliz,Conservative
74,Esther McVey,@EstherMcVey1,Conservative
75,Gary Streeter,@garystreeterSWD,Conservative
76,Gavin Williamson,@GavinWilliamson,Conservative
77,Geoffrey Cox QC,@geoffrey_cox,Conservative
78,George Freeman,GeorgeFreemanMP,Conservative
79,George Hollingbery,@GHollingbery,Conservative
80,Giles Watling,@GilesWatling,Independent
81,Gillian Keegan,@GillianKeegan,Conservative
82,Glyn Davies,@GlynDavies,Conservative
83,Graham Stuart,@grahamstuart,Conservative
84,Grant Shapps,@grantshapps,Conservative
85,Greg Hands,@GregHands,Conservative
86,Greg Knight,@GregKnight,Conservative
87,Guy Opperman,@GuyOpperman,Conservative
88,Harriett Baldwin,@hbaldwin,Conservative
89,Heather Wheeler,@HeatherWheeler,Conservative
90,Helen Grant,@HelenGrantMP,Conservative
91,Helen Whately,@Helen_Whately,Conservative
92,Henry Smith,@HenrySmithUK,Conservative
93,Hugo Swire,@HugoSwire,Conservative
94,Huw Merriman,@HuwMerriman,Conservative
95,Iain Duncan Smith,@MPIainDS,Conservative
96,Iain Stewart,@iainastewart,Conservative
97,Jack Lopresti,@JackLopresti,Conservative
98,Jackie Doyle-Price,@JackieDP,Conservative
99,Jacob Rees-Mogg,@Jacob_Rees_Mogg,Conservative
100,Jake Berry,@JakeBerry,Conservative
101,James Brokenshire,@JBrokenshire,Conservative
102,James Cartlidge,@jc4southsuffolk,Conservative
103,James Cleverly,@JamesCleverly,Conservative
104,James Duddridge,@JamesDuddridge,Conservative
105,James Gray,@JGray,Conservative
106,James Heappey,@JSHeappey,Conservative
107,James Morris,@JamesMorris,Conservative
108,Jeremy Hunt,@Jeremy_Hunt,Conservative
109,Jeremy Lefroy,@JeremyLefroy,Conservative
110,Jeremy Wright,@DCMS_SecOfState,Conservative
111,Jesse Norman,@Jesse_Norman,Conservative
112,Jo Churchill,@Jochurchill4,Conservative
113,John Glen,@JohnGlenUK,Conservative
114,John Howell,@JHowellUK,Conservative
115,John Lamont,@John2Win,Scottish National
116,John Penrose,@johnpenrosenews,Conservative
117,John Redwood,@johnredwood,Conservative
118,John Stevenson,@JohnStevensonMP,Conservative
119,John Whittingdale,@JWhittingdale,Conservative
120,Johnny Mercer,@JohnnyMercerUK,Conservative
121,Jonathan Djanogly,@JDjanogly,Conservative
122,Jonathan Lord,@JonathanLord,Conservative
123,Joseph Johnson,@JoJohnsonUK,Conservative
124,Julia Lopez,@JuliaLopezMP,Conservative
125,Julian Knight,@julianknight15,Conservative
126,Julian Smith,@JulianSmithUK,Conservative
127,Justin Tomlinson,@JustinTomlinson,Conservative
128,Keith Simpson,@KeithSimpsonMP,Conservative
129,Kelly Tolhurst,@KellyTolhurst,Conservative
130,Kemi Badenoch,@KemiBadenoch,Conservative
131,Kevin Foster,@kevin_j_foster,Conservative
132,Kevin Hollinrake,@kevinhollinrake,Conservative
133,Kirstene Hair,@Kirstene4Angus,Scottish National
134,Kit Malthouse,@kitmalthouse,Conservative
135,Kwasi Kwarteng,@KwasiKwarteng,Conservative
136,Laurence Robertson,@lrobertsonTewks,Conservative
137,Lee Benjamin Rowley,@Lee4NED,Conservative
138,Leo Docherty,@LeoDochertyUK,Conservative
139,Lucy Allan,@lucyallan,Conservative
140,Lucy Frazer,@lucyfrazermp,Conservative
141,Luke Graham,@LukeGrahamMP,Conservative
142,Luke Hall,@LukeHall,Conservative
143,Maggie Throup,@maggie_erewash,Conservative
144,Marcus Fysh,@MarcusFysh,Conservative
145,Marcus Jones,@Marcus4Nuneaton,Conservative
146,Maria Caulfield,@mariacaulfield,Conservative
147,Maria Miller,@MariaMillerUK,Conservative
